Selected,pseudo_key,has_cons,num_sbs_accts,customer_sbs_spend,cust_lvl_supps,customer_sbs_tenure,PRODUCT_COLOR,segment,platinum,fee,core,redeemer,tenure_sq,freq_traveler,prem_freq_traveler,d_telesalesOB,d_telesalesIB,d_F2F,d_acq_miss,d_eng_acct,d_bus_serv,d_constr,d_misc_retail,d_real_estate,d_wholesale,d_health_serv,d_eat_drink,firm_miss,spend_freq,inactive_freq,high_spend_freq,summer_fun,num_cat,num_cat_sq,spnd_per_trans,trans_per_card,advert_B2B,pts_redeemed_new,imput_rev_cond_fill,gold,green
1,5,0,1,9145.64,0,116,GREEN,Long Tenure,0,1,1,0,13456,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,12,0,0,0,10,100,82.393153153,111,0,0,1225968,0,1
1,9,0,1,270325.3,1,89,PLATINUM,Long Tenure,1,0,0,1,7921,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,8,0,4,0,9,81,3556.9118421,38,0,0,552578,0,0
1,11,1,1,6235.73,0,154,GOLD,Long Tenure,0,1,1,1,23716,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,11,0,0,0,5,25,296.93952381,21,0,20000,244146234.28,1,0
1,15,0,1,1783.08,1,101,GOLD,Long Tenure,0,0,0,0,10201,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,12,0,0,0.357600332,1,1,148.59,6,0,0,1068576,1,0
1,16,0,1,290.36,0,137,GOLD,Long Tenure,0,1,1,0,18769,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,2,10,0,0,2,4,96.786666667,3,0,0,256245746.08,1,0
1,18,0,1,114508.97,1,195,GOLD,Long Tenure,0,1,1,1,38025,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,10,0,2,0,16,256,202.31266784,283,0,335416,417309,1,0
1,21,0,1,56333.42,1,96,PLATINUM,Long Tenure,1,1,1,1,9216,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,12,0,0,0,15,225,201.91189964,139.5,0.0249177666,36500,949438,0,0
1,22,1,1,10252.85,0,176,GOLD,Long Tenure,0,1,1,1,30976,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,12,0,0,0,9,81,162.74365079,63,0,121750,4018840,1,0
1,23,0,1,174270.96,2,204,GREEN,Long Tenure,0,1,1,1,41616,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,9,0,3,0,7,49,1383.1028571,42,0,236250,142098,0,1
1,24,1,1,832551.23,1,171,PLATINUM,Long Tenure,1,1,1,1,29241,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,10,0.0312149628,15,225,2385.5336103,174.5,0,1692136,966756,0,0
1,26,1,1,65860.99,1,190,GOLD,Long Tenure,0,1,1,1,36100,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,12,0,0,0,6,36,531.13701613,62,0,0,240654387.02,1,0
1,27,1,1,44754.79,1,167,GOLD,Long Tenure,0,1,1,0,27889,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,12,0,0,0,16,256,222.66064677,100.5,0.0025183116,0,235172615.61,1,0
1,28,1,1,1003327.71,29,93,PLATINUM,Long Tenure,1,1,0,1,8649,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,12,0.3600764939,18,324,431.72448795,77.466666667,0.0203702269,1631000,19000000,0,0
1,33,1,1,145334.64,0,219,GOLD,Long Tenure,0,1,1,0,47961,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,11,0,1,0.3333333333,10,100,1092.7416541,133,0.0016656093,0,12379604,1,0
