Selected,pseudo_key,has_cons,num_sbs_accts,customer_sbs_spend,cust_lvl_supps,customer_sbs_tenure,PRODUCT_COLOR,segment,platinum,fee,core,redeemer,tenure_sq,freq_traveler,prem_freq_traveler,d_telesalesOB,d_telesalesIB,d_F2F,d_acq_miss,d_eng_acct,d_bus_serv,d_constr,d_misc_retail,d_real_estate,d_wholesale,d_health_serv,d_eat_drink,firm_miss,spend_freq,inactive_freq,high_spend_freq,summer_fun,num_cat,num_cat_sq,spnd_per_trans,trans_per_card,advert_B2B,pts_redeemed_new,imput_rev_cond_fill,gold,green
1,2,1,1,0,1,23,GOLD,Short Tenure,0,1,1,0,529,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,12,0,0,0,0,0,0,0,0,60000,1,0
1,3,1,1,381595.49,0,35,GREEN,Short Tenure,0,1,1,1,1225,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,6,0,6,0,8,64,5451.3641429,70,0,695000,2267328,0,1
1,4,0,1,972980.32,0,57,GOLD,Short Tenure,0,1,1,1,3249,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,3,0,9,0.5,15,225,2725.43507,357,0.0029234048,1398416,1361046,1,0
1,6,1,1,286351.08,0,14,PLATINUM,Short Tenure,1,1,1,1,196,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,6,0,6,0.5487637363,12,144,894.847125,320,0,400000,5277518,0,0
1,8,0,1,16420.84,0,15,GOLD,Short Tenure,0,1,1,0,225,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,6,6,0,1,8,64,176.56817204,93,0,0,1049183,1,0
1,12,0,2,539289.08,21,25,PLATINUM,Short Tenure,1,1,1,0,625,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,12,0.9680916764,19,361,357.38176276,65.608695652,0.0129054508,0,7065858,0,0
1,13,1,1,393245.83,0,52,PLATINUM,Short Tenure,1,1,1,1,2704,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,9,0,7,49,1881.5589952,209,0,264900,775633,0,0
1,14,1,1,50780.14,0,19,GOLD,Short Tenure,0,1,1,1,361,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,12,0,0,0.4209986653,14,196,141.44885794,359,0,50000,238818,1,0
1,29,0,1,47793.8,0,31,PLATINUM,Short Tenure,1,1,1,1,961,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,12,0,0,0.483570663,16,256,160.38187919,298,0.4554463964,187400,300000,0,0
1,36,1,1,33655.33,0,23,GOLD,Short Tenure,0,1,1,1,529,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,12,0,0,0,8,64,716.07085106,47,0,35261,597076,1,0
1,60,1,1,227329.78,0,32,PLATINUM,Short Tenure,1,1,1,1,1024,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,5,0,7,0.6430503991,16,256,595.10413613,382,0.0024679256,92855,2948219,0,0
1,63,0,1,817755.3,1,30,PLATINUM,Short Tenure,1,1,1,1,900,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0.5257336933,20,400,673.04962963,607.5,0.0139112595,595000,12195,0,0
1,64,0,1,290791.04,0,38,PLATINUM,Short Tenure,1,1,1,1,1444,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,4,0,8,0.6281191911,15,225,894.74166154,325,0.0005838583,338059,574127,0,0
